noi_permit_number,project_name,latitude,longitude,receiving_waters,total_land_area,estimated_area,construct_start,construct_end
1581,"Windstone Phases 1a-d, 2a-b (AKA Windstone)",38.760556,-75.231667,Canary Creek-Broadkill River,180.3,104.7,8/1/2005,8/1/2007
1790,Heritage Shores,38.727778,-75.595,Nanticoke River,811,811,1/15/2005,1/15/2012
1793,Sunset Village,39.09029,-75.55914,St. Jones River,29.81,26.39,4/1/2006,4/1/2008
1795,Release Parcel Demolition,39.083333,-75.5,St. Jones River,38.92,7.9,10/15/2005,10/31/2006
1798,Courseys Point Subdivision,38.984444,-75.501667,Murderkill River,99.64,81,4/3/2006,4/2/2007
1799,Lynnwood Village Subdivision,39.011944,-75.4975,Murderkill River,18.46,15.4,1/1/2006,1/1/2008
1803,Bay Front Phase 1,38.669444,-75.148889,Lewes-Rehoboth Canal,121.7,48.1,10/1/2005,10/1/2008
1817,Preserves at Jefferson Creek,38.516944,-75.071944,Little Assawoman Bay,64.2,32.2,4/1/2006,11/1/2008
1818,Family Foundations Academy Charter School,39.665,-75.575833,Delaware River,3,2.5,11/18/2005,8/15/2006
1819,Fork Landing West,38.9852,-75.4997,Murderkill River,63.9,54.2,6/1/2006,6/1/2010
1772,"Peninsula at Long Neck, Phase 2-Marina Bay Area 3",38.610556,-75.165833,Indian River Bay,36.17,36.17,3/1/2012,3/1/2014
1821,PGS Properties/Longwood Lakes,38.590278,-75.343889,Indian River Bay,67.5,61.24,2/1/2007,2/1/2009
1835,Hickory Manor II,38.549167,-75.156944,Indian River Bay,20,19.5,12/15/2005,12/15/2007
1838,Peninsula at Long Neck Phase 2 Marina Bay Area 2,38.610833,-75.166111,Indian River Bay,30.34,30.34,3/1/2012,3/1/2014
1840,Smyrna Diner,39.283333,-75.591667,Smyrna River,2,2,3/1/2006,9/1/2006
1846,1019 S Governors Avenue Office Bldg,39.143333,-75.525,St. Jones River,0.32,0.32,2/15/2006,10/15/2006
1856,Dagsborro Woods,38.583333,-75.258333,Indian River,8.74,3.08,5/1/2006,5/1/2007
1857,Cross Property,38.573056,-75.288333,Indian River,20.99,19.67,12/18/2005,12/15/2006
1862,Reddenwood Phase II,38.736389,-75.353056,Broadkill River,53.4,19.5,7/1/2006,12/31/2006
1866,Old Country Farm,39.270278,-75.642222,Smyrna River,134.22,144.35,3/1/2006,8/31/2014
1810,Dunkin Donuts,39.655556,-75.7875,Christina River,0.34,0.37,11/30/2005,3/30/2006
1629,Oakwood Village at Lewes LLC (Formerly Oakwood Village),38.694167,-75.201667,Lewes-Rehoboth Canal,67.92,51.9,12/1/2006,12/1/2008
1618,Vicmead Hunt Club,39.805556,-75.627778,Red Clay Creek,68.36,2.1,9/1/2005,12/31/2007
1872,Cahne Medical Pavilion at Four Seasons,39.168056,-75.996389,St. Jones River,2.61,2.73,3/1/2006,4/15/2007
1873,Hearring Run Professional Park Phase II,38.678889,-75.616667,Nanticoke River,9.19,7,4/1/2006,12/1/2007
1874,Baywood Phase 5 & 6 Residential Development,38.65,-75.166667,Indian River,171.3,37.95,3/1/2006,3/1/2008
1876,"Falco, 310/320/330 Water Street",39.711667,-75.602778,Christina River,5.1,1.1,1/1/2006,2/1/2006
1879,Fisherhawke Landing,38.913889,-75.421944,Mispillion River,4.54,4.9,3/1/2006,9/30/2006
1883,Silver Oaks Farm,39.272222,-75.672222,Smyrna River,292.6,251.6,3/1/2007,9/1/2011
1888,Brookstone Trace Subdivision,38.905556,-75.445278,Mispillion River,21.4,20.4,5/1/2006,5/1/2007
1890,Heritage Village,38.734722,-75.143889,Indian River Bay,44.83,16.1,2/1/2006,8/1/2007
1891,Blue Heron,38.6125,-75.25,Indian River,0.91,0.91,3/15/2006,3/15/2007
1901,Bayshore Plaza Facilities,38.633333,-75.193889,Indian River,70.8,4.4,3/1/2006,3/1/2007
1902,Blairs Pond Estates A,38.893889,-75.491667,Mispillion River,118.3,16.9,1/1/2006,12/31/2008
1904,Jefferson Court Subdivision,38.775,-75.141667,Lewes-Rehoboth Canal,2.27,2.27,4/1/2006,10/1/2006
1905,Family Health of Bethany,38.544444,-75.093056,Indian River Bay,0.7,0.7,3/1/2006,3/1/2007
1906,1730 and 1736 Old Baltimore Pike,39.614167,-75.640833,Dragon Run Creek,7.8,3.67,6/1/2006,6/1/2008
1911,Sunland Ranch,38.8075,-75.318056,Indian River,37.26,10.8,5/15/2006,6/15/2007
1747,Independence,38.660556,-75.224167,Delaware Bay,332.7,275,4/1/2006,4/1/2009
1617,Chestnut Ridge,39.053056,-75.520556,Bohemia Creek,122.8,116.3,8/31/2005,8/31/2008
1914,Holly Woods Subdivision,39.679167,-75.743889,White Clay Creek,1.3,1.4,3/15/2006,8/1/2006
1920,WAWA Bay Court Plaza Store No. 854,39.15,-75.508333,St. Jones River,2,2,8/1/2006,4/30/2007
1922,St. Georges Crossing,39.565556,-75.639167,Dragon Run Creek,156.07,107,4/1/2006,12/31/2008
1923,Hopkins-Pettyjohn Subdivision,38.75,-75.216667,Broadkill River,250.13,184,6/1/2006,6/1/2013
1927,Sheppards Crook,39.119722,-75.634444,St. Jones River,22.9,19.9,4/1/2006,4/30/2007
1929,Harmony Woods,38.640833,-75.245278,Indian River,51.42,9.8,8/1/2006,11/1/2006
1936,Whitetail Crossing,38.666111,-75.571667,Nanticoke River,16.3,4.5,12/1/2006,12/31/2007
1939,The Finn Fay,38.5388,-75.06196,Little Assawoman,0.56,0.5,1/1/2007,1/5/2007
1942,Residence Inn Marriott,39.179167,-75.525,St. Jones River,3.2,3,8/1/2006,4/1/2007
1944,Oak Landing,38.603333,-75.178333,Indian River,59.82,59.82,5/1/2007,5/1/2011
1952,Cannery Village Phase 3A,38.770556,-75.304167,Broadkill River,48.4,35.9,4/1/2006,4/1/2007
1951,Cannery Village Phase 4,38.775,-75.304167,Broadkill River,27.4,23,4/1/2006,4/1/2007
1956,Wyncliff Addition,31.698889,-75.748333,White Clay Creek,7.4,2.6,4/1/2006,4/1/2007
1957,Steeple Glenn Subdivision,39.618333,-75.681389,Christina River,22.89,20.39,5/1/2006,5/1/2011
1958,Riverplace Condominiums,38.280556,-75.476389,Nanticoke River,2.45,2.72,6/1/2006,7/1/2008
1949,Village of Nobles Pond,39.206667,-75.576389,Leipsic River,293,136.7,3/31/2006,11/1/2011
1959,The Lakes At Carriage Spring,38.736667,-75.346944,Broadkill River,77.6,69.1,6/1/2006,6/1/2008
1961,Simpsons Crossing,38.995,-75.725,Mispillion River,191.8,182,9/1/2006,1/1/2016
1963,Monroe Square,38.588889,-75.298333,Indian River,3.8,3.5,8/1/2006,8/1/2007
1968,Marrows Road Sports Complex Phase II,39.682222,-75.728056,White Clay Creek,2,2.22,4/1/2006,4/1/2007
1969,Tidbury Crossing,39.101667,-75.55,St. Jones River,39.24,35.84,9/1/2006,9/1/2008
1971,Double Eagle Farms,38.650278,-75.234167,Indian River,65.3,19.8,8/1/2006,12/1/2006
1973,Route 24 Self Storage,38.6,-75.241667,Indian River,5.8,5.8,4/17/2006,10/30/2006
1974,Dagsboro Tract,38.55,-75.216667,Indian River Bay,21.7,18.8,11/1/2006,11/1/2007
1976,Pepper Creek Marina,38.566389,-75.209444,Indian River Bay,3.25,8.75,8/1/2006,8/1/2007
1977,The Marina at Pepper's Creek formerly The Landings at Pepper Creek,38.570278,-75.210833,Indian River Bay,48.73,47.57,7/1/2012,7/1/2019
1978,Fountains of Georgetown,32.5,-75.116667,Broadkill River,18.83,15.33,9/1/2006,3/1/2007
1881,Roesville Estates,38.998056,-75.491667,Murderkill River,204.8,98.9,10/1/2006,10/1/2010
1980,Bridlewood at Baywood-Clearing Plan,38.65,-75.173056,Indian River,199.5,70,4/1/2006,12/1/2006
1988,Watergate at Milford,38.901667,-75.420278,Mispillion River,45.5,30.9,6/1/2006,11/30/2006
1994,Stillwater,38.458333,-75.540278,Broad Creek,88.88,55.6,9/1/2006,9/1/2007
1999,The Woodlands of Peppers Creek,38.54789,-75.243889,Indian River Bay,11,11,9/1/2008,12/31/2012
2004,Wesley College Parking Lot Expansion,39.1625,-75.526667,St. Jones River,0.68,0.53,7/17/2006,8/31/2006
2007,Village on Pepper Creek,38.538056,-75.239444,Indian River,42.9,32.8,11/1/2006,11/30/2008
2008,Martin Hotal,38.42,-75.05,Lewes-Rehoboth Canal,0.5,0.5,5/1/2006,12/30/2006
2012,Sand Dollar Walk,38.906667,-75.115278,Indian River Bay,0.9,0.9,12/1/2006,6/1/2008
2013,Ponds at Willow Grove,39.091667,-75.575,St. Jones River,135.4,125.9,7/30/2006,7/30/2009
2014,Millville by the Sea - Section I,38.531944,-75.125833,Indian River Bay,55.81,54.06,9/1/2006,9/1/2007
2020,Searbrook Village,39.932222,-75.908333,St. Jones River,13.4,1.4,4/12/2006,4/12/2007
2021,Rosewood Farms,39.012222,-75.035833,Murderkill River,15.64,16.5,7/3/2006,3/3/2008
2022,Blood Bank of Delmarva,39.9,-75.32,St. Jones River,2.55,1.06,6/20/2006,12/20/2006
2023,VIillage of Eastridge,39.244722,-75.615833,Smyrna River,69,46.5,1/1/2007,1/1/2014
2025,Mearfield Section 2,38.662125,-75.606498,Nanticoke River,25,25,4/1/2007,11/30/2009
2030,Milford Independence Commons-PHASE 11,38.9375,-75.458333,Mispillion River,120.4,22.3,6/1/2006,6/1/2007
2037,Blue Heron Landing,38.548889,-75.092222,Indian River Bay,2.9,1,7/1/2006,12/1/2006
2041,Cross Key Village,38.569444,-75.356667,Indian River,33.3,25.7,9/1/2006,9/1/2007
2042,Mercedes Dealership,38.943889,-75.418333,Mispillion River,20,2,6/1/2006,11/20/2006
2043,The Estates at Double Run Creek,39.088889,-75.811389,St. Jones River,151.47,126.8,12/1/2006,12/1/2008
2046,Bethany Grand,38.583333,-75.083333,Little Assawoman,2.63,2.41,8/1/2006,2/1/2007
2047,Everton Multifamilty,38.698056,-75.384444,Broadkill River,2.2,2,9/1/2006,9/1/2007
2052,Herring Pointe,38.669444,-75.159722,Lewes-Rehoboth Canal,78.15,65.62,9/1/2006,3/1/2007
2058,Snowland,39.241667,-75.533333,Leipsic River,195.5,9.5,7/1/2006,9/1/2006
2061,Newark Charter School K-4,39.662222,-75.774722,Christina River,2,2,7/1/2006,7/1/2007
2063,Lowe Subdivision,38.575278,-75.555,Nanticoke River,4.8,0.09,9/1/2006,11/1/2006
2065,River Oaks,38.668889,-75.2025,Indian River,47.64,42.26,1/1/2007,1/1/2008
2067,Roesville Estates Section 2,39.995556,-75.504444,Murderkill River,109.07,91.8,6/1/2007,6/1/2016
2068,Rojan Meadows,39.169444,-75.453611,Delaware Bay,39.2,36.2,3/1/2007,3/1/2010
2070,Willow Creek,39.25,-75.573611,Leipsic River,276.3,181.5,11/1/2006,11/1/2008
2071,Fawn Crossing,33.815556,-75.541667,Mispillion River,50.5,37.8,10/1/2006,10/1/2007
2073,Amstel Square,0.75,-75.75,White Clay Creek,1.4,1.5,7/1/2006,10/1/2006
2084,461 Wyoming Road,39.676944,-75.737222,White Clay Creek,15.5,4.8,8/1/2006,8/30/2006
2085,Ross Station,38.668889,-75.626667,Nanticoke River,57.81,44.1,9/1/2006,9/1/2009
2094,Duneside at Baywood,38.648611,-75.195556,Rehoboth Bay,275.09,17.45,9/1/2006,10/1/2006
2095,Lighthouse Christian Center,38.938889,-75.424167,Mispillion River,73.1,6,5/1/2006,8/31/2006
2097,Atlantic Eye Care Office Building,38.75,-75.333333,Lewes-Rehoboth Canal,29,29,6/23/2006,6/30/2006
2098,Tull Gardens,42.966667,-75.633333,Nanticoke River,120,117.5,8/1/2006,8/1/2010
2099,Living Water Church,38.60975,-75.52029,Broad Creek,14.42,4.2,8/15/2006,8/15/2008
2100,Greene Hill Farm Estates,39.243889,-75.622778,Smyrna River,140.9,127.5,2/1/2007,2/1/2014
2102,S G Williams of Dover,39.141667,-75.497222,Leipsic River,6.47,0.47,10/1/2006,3/31/2007
2104,St Thomas More Athletic field,39.076667,-75.474722,St. Jones River,12.1,12.1,8/1/2006,8/1/2007
2106,Maidstone Subdivision,39.281944,-75.580556,Leipsic River,41.03,9,3/1/2007,3/1/2008
2107,Lawrence Crossing,38.976944,-75.466667,Nanticoke River,58.4,52,1/1/2007,1/1/2012
2108,Sandstone,38.83,-75.37,Broadkill River,47.56,46.5,7/31/2006,7/31/2008
2109,Cypress Landing,38.636667,-75.597222,Nanticoke River,12.4,10.2,12/1/2006,12/31/2007
2113,Bedford village,38.67,-75.378611,Broadkill River,22.38,19.2,8/1/2006,8/1/2007
2119,Magnolia Estates,39.09288,-75.49259,St. Jones River,101.1,65.8,11/1/2006,10/30/2009
2120,Mispillion Landing,35.920556,-75.42,Mispillion River,6.5,6.5,9/1/2006,9/1/2007
2125,Bayard Road Mini Storage,38.5,-75.133333,Indian River Bay,1.67,1.59,9/1/2006,3/31/2007
2126,North St. Extension,,-75.583333,Murderkill River,0.5,0.5,9/1/2006,9/1/2007
2130,Bunting Farms,38.008611,-77.675833,Indian River,7.5,6,11/1/2006,11/1/2007
2134,Twin Farms,39.01,-75.4874,Murderkill River,100.9,91.4,11/1/2006,10/30/2009
2136,"West Milford Industrial Park, Lot 14",38.921667,-75.443333,Mispillion River,3.1,2.8,10/1/2006,4/1/2007
2137,Spring Breeze,38.68,-78.22,Rehoboth Bay,139.1,99.6,3/1/2007,3/1/2009
2138,Melendez Manor,38.7775,-75.338333,Broadkill River,11.6,4.7,1/15/2007,8/13/2007
2139,Foxshire Subdivision,38.7424,-75.66047,Nanticoke River,24.2,6.5,4/1/2007,8/1/2007
2141,Seaford Professional Offices,38.633889,-75.599722,Nanticoke River,2,2,11/1/2006,11/1/2007
2146,Holly Lake Villas,38.778889,-75.322222,Broadkill River,7.8,7.2,1/1/2007,6/1/2008
2147,Pot-Nets Lakeside,38.623217,-75.181883,Indian River Bay,38,29.9,3/1/2007,3/1/2008
2149,Knoll Acres,38.840278,-75.418611,Cedar Creek,37.1,33,9/25/2006,9/26/2008
2150,Bedford Commons,38.678333,-75.378333,Indian River,8.1,10.1,9/30/2006,9/29/2008
2151,Lighthouse Crossing,38.45757,-75.19836,Buntings Branch,63.15,54.6,1/1/2007,1/1/2010
2156,Gran-Ville,38.6375,-75.291667,Indian River,16.6,5.3,10/1/2006,9/30/2009
2157,Demarie Commercial Office,38.523889,-75.055556,Little Assawoman,0.4,0.5,12/1/2006,4/1/2007
2162,New Junction Station,38.930522,-75.558569,Murderkill River,56.9,43,9/1/2007,9/1/2012
2163,Deep Creek Subdivision,38.639167,-75.567778,Nanticoke River,38.64,19.71,10/1/2006,3/1/2007
2168,Clearbrook Acres Phase II,,-75.956667,Nanticoke River,13.01,2.5,5/1/2007,8/1/2007
2178,Magnolia Crossing Mobile Home Park,39.067059,-75.482346,St. Jones River,16.1,6.7,3/1/2007,3/1/2008
2194,Yale Avenue Property,39.794167,-75.461389,Delaware River,0.34,0.38,12/1/2006,6/1/2007
2195,Morin/Hudson Proposed Storage Building,38.541111,-75.084722,Indian River Bay,1.8,0.6,10/15/2006,5/1/2007
2197,Pelican Point,38.64835,-75.235083,Rehoboth Bay,200.61,149,1/1/2007,1/1/2008
2202,Cypress Creek Estates,38.8653,-75.4025,Delaware Bay,97.11,75,12/1/2016,1/1/2018
2203,Oaks at Georgetown,38.675,-75.383333,Broadkill River,95.8,76.9,4/1/2007,6/1/2008
2215,Spring Creek Estates,38.981,-75.5153,Murderkill River,59.4,56.8,9/1/2007,12/31/2010
2217,Lot No. 6 Smyrna Ind. Office Research Park,39.28328,-75.62378,Smyrna River,1.5,0.9,1/10/2007,8/10/2007
2224,D&R Estates,39.005556,-75.565278,Murderkill River,6.7,6.4,9/18/2006,9/18/2008
2225,Fiddlers Creek,39.003333,-75.483889,Murderkill River,30.2,16.9,7/1/2007,7/1/2008
2228,Peninsula at Long Neck Phase 2 Parcel H (Stillwaters),38.6065,-75.164667,Indian River Bay,20.54,20.5,3/1/2012,3/1/2014
2234,Kesselring,39.135833,,St. Jones River,187.36,165,5/1/2007,5/1/2009
2236,Speakman Place,30.754167,-75.529167,Christina River,9.6,7.3,3/1/2007,8/31/2009
2237,Hompton Ridge,38.992222,-75.508611,Murderkill River,69.91,63.75,3/1/2007,3/1/2009
2238,Beaver Creek Phase 3,38.733333,-75.266667,Broadkill River,77.07,52.37,8/1/2007,8/1/2008
2240,Baylis Estates,38.620833,-75.204167,Indian River,75.48,49.93,9/1/2007,9/1/2010
2242,"Grading, Erosion and Sediment Control Plan",38.566944,-75.086667,White Clay Creek,10,10,11/15/2006,1/31/2007
2246,Holly Oak Extension,38.466667,-75.570833,Broad Creek,10,9.5,1/1/2007,8/1/2007
2249,Bridgeville Development,38.7617,-75.5929,Nanticoke River,7.5,3.5,11/1/2006,6/1/2007
2252,Westminster Chase at Silver Oak Farms,39.285833,-75.680833,Smyrna River,308,251.9,12/3/2007,11/30/2014
